boxtxt,costtomake,dateofshipment,weightofshipment,shipmentinsurrancecost,basevalue,storetxt,region_name,currentcostofshipment,valueofshipment,Total_Value,Total_V_NEW_Metric
DA251912,2.4,02/12/2019,36.7,3.1,151,TX253115,Region #1,12.3,2277.1,2239.3,2241.7
DM481414,2.6,05/10/2019,45.2,3.8,149,TX253115,Region #1,14.8,2246.9,2191.5,2204.3
DM481414,2.6,07/17/2019,41.8,3.8,141,TX253115,Region #1,13.8,2126.3,2073.4,2086.3
DX301310,3.9,09/10/2019,11.3,2.2,168,TX253115,Region #1,7,2533.4,2518.4,2513.3
DX301310,3.9,12/15/2019,32.4,3.4,137,TX253115,Region #1,12.7,2066,2023.3,2029.4
EC423810,3.7,07/06/2019,42.5,2.8,182,TX253115,Region #1,15.2,2744.6,2702.1,2700.8
EC423810,3.7,03/22/2019,22.4,2.5,128,TX253115,Region #1,9.7,1930.2,1906.2,1902.1
GJ331220,3.1,08/18/2019,7.2,3.8,111,TX253115,Region #1,5,1673.9,1654.9,1659.3
KQ264020,2.9,07/11/2019,26.9,2.7,108,TX253115,Region #1,10.2,1628.6,1601.3,1599.2
MA101120,2.1,04/24/2019,34.5,2.6,132,TX253115,Region #1,11.5,1990.6,1961,1957.5
NC103116,2.3,12/01/2019,50.7,2.7,126,TX253115,Region #1,16,1900.1,1857.2,1853.9
NC103116,2.3,06/02/2019,33.6,3,114,TX253115,Region #1,11.4,1719.1,1684.5,1686.3
BQ261014,2.6,10/09/2019,49.1,3.3,180,TX253118,Region #1,15.9,2714.4,2661.3,2668.5
DA251912,2.4,07/15/2019,38.7,3,126,TX253118,Region #1,12.8,1900.1,1861.6,1863.1
DA251912,2.4,09/19/2019,24.8,3.3,153,TX253118,Region #1,9,2307.2,2277.1,2281.1
DG282516,2.8,03/01/2019,20.2,2.1,125,TX253118,Region #1,8.2,1885,1867.6,1861.2
FD311219,2.6,01/03/2019,49.3,3.5,157,TX253118,Region #1,16,2367.6,2312,2321.5
GD341420,2.8,02/18/2019,32.8,3.5,138,TX253118,Region #1,11.7,2081,2040,2047.3
GD341420,2.8,09/13/2019,41,3.1,107,TX253118,Region #1,13.9,1613.6,1570.7,1573.4
GJ331220,3.1,09/17/2019,42.3,3.2,159,TX253118,Region #1,14.5,2397.7,2351.7,2355.8
GJ331220,3.1,04/25/2019,16.6,3,120,TX253118,Region #1,7.6,1809.6,1786.8,1787.8
MA101120,2.1,06/01/2019,20.1,3,94,TX253118,Region #1,7.6,1417.5,1394.7,1395.7
MA101120,2.1,01/09/2019,40.6,2.5,97,TX253118,Region #1,13.1,1462.8,1429.7,1425
NC103116,2.3,09/16/2019,50.9,2.8,186,TX253118,Region #1,16,2804.9,2759.7,2758.6
BQ261014,2.6,11/22/2019,42.4,2.6,100,TX253120,Region #1,14.1,1508,1472,1467.3
BQ261014,2.6,08/01/2019,6.1,3.5,146,TX253120,Region #1,4.3,2201.7,2186.5,2189.3
DG282516,2.8,01/07/2019,32.3,2.7,159,TX253120,Region #1,11.5,2397.7,2366.8,2364.5
DX301310,3.9,07/05/2019,30.7,2.5,174,TX253120,Region #1,12.2,2623.9,2594,2588.7
EC423810,3.7,01/21/2019,27,2.5,165,TX253120,Region #1,11,2488.2,2461.1,2456.5
FD311219,2.6,04/12/2019,17.8,2.4,173,TX253120,Region #1,7.4,2608.8,2591,2587.4
KH102813,1.2,02/22/2019,19.6,3.1,162,TX253120,Region #1,6.5,2443,2423,2424.2
NC103116,2.3,03/04/2019,15.1,2.6,126,TX253120,Region #1,6.4,1900.1,1883.2,1881.6
QH401919,2.4,11/02/2019,23.2,2.6,190,TX253120,Region #1,8.7,2865.2,2842.5,2840.2
BQ261014,2.6,03/25/2019,18.1,2.8,193,TX253122,Region #1,7.5,2910.4,2889.2,2888.7
BQ261014,2.6,10/10/2019,13.9,2.9,137,TX253122,Region #1,6.4,2066,2047.6,2047.5
DA251912,2.4,02/24/2019,36.3,3.9,93,TX253122,Region #1,12.2,1402.4,1355.5,1367.3
DA251912,2.4,01/03/2019,43.1,3.4,129,TX253122,Region #1,14,1945.3,1897.2,1904.9
DM481414,2.6,05/12/2019,14.3,2.7,194,TX253122,Region #1,6.4,2925.5,2908.3,2907
DX301310,3.9,09/09/2019,41.8,3.8,136,TX253122,Region #1,15.2,2050.9,1992.7,2007
EC423810,3.7,01/18/2019,36.7,3.8,120,TX253122,Region #1,13.6,1809.6,1757.7,1770.4
EC423810,3.7,10/01/2019,8.9,3.2,139,TX253122,Region #1,6.1,2096.1,2076.3,2078.5
FD311219,2.6,11/12/2019,8.5,2.8,100,TX253122,Region #1,4.9,1508,1494.2,1493.8
GJ331220,3.1,08/23/2019,23.2,3.1,109,TX253122,Region #1,9.3,1643.7,1614.4,1616.8
KQ264020,2.9,03/21/2019,7,3,190,TX253122,Region #1,4.8,2865.2,2850.9,2851.3
QH401919,2.4,03/06/2019,9.9,2.9,178,TX253122,Region #1,5.1,2684.2,2669.7,2669.6
QH401919,2.4,02/21/2019,22.5,3.2,118,TX253122,Region #1,8.5,1779.4,1752.5,1755
DA251912,2.4,08/18/2019,45.3,2.6,103,TX253123,Region #1,14.6,1553.2,1515.9,1511.1
DX301310,3.9,01/07/2019,35.6,2.8,145,TX253123,Region #1,13.5,2186.6,2148.7,2147.6
FD311219,2.6,09/07/2019,35,2.5,172,TX253123,Region #1,12.1,2593.8,2563.9,2558.9
GD341420,2.8,02/23/2019,24.5,3,159,TX253123,Region #1,9.4,2397.7,2369.7,2370.5
GD341420,2.8,09/02/2019,42.1,2.6,179,TX253123,Region #1,14.2,2699.3,2663,2658.4
GJ331220,3.1,06/22/2019,29.2,3,130,TX253123,Region #1,11,1960.4,1927.8,1928.7
GJ331220,3.1,06/07/2019,31.1,2.5,102,TX253123,Region #1,11.5,1538.2,1509.2,1505
KH102813,1.2,08/09/2019,25.9,3,169,TX253123,Region #1,8.2,2548.5,2523.7,2524.9
MA101120,2.1,11/13/2019,9.4,3.2,147,TX253123,Region #1,4.7,2216.8,2201.9,2203.2
NC103116,2.3,01/19/2019,19.3,3,133,TX253123,Region #1,7.5,2005.6,1982.8,1983.9
DA251912,2.4,02/01/2019,48.9,2.8,147,TX253124,Region #1,15.5,2216.8,2173,2171.9
DA251912,2.4,03/24/2019,17.7,3,91,TX253124,Region #1,7.2,1372.3,1350.5,1351.6
DA251912,2.4,10/17/2019,34.7,3.3,107,TX253124,Region #1,11.7,1613.6,1574.5,1579.7
DX301310,3.9,06/19/2019,46.4,2.7,164,TX253124,Region #1,16.4,2473.1,2427.9,2425.7
DX301310,3.9,11/02/2019,9,2.1,109,TX253124,Region #1,6.3,1643.7,1630.4,1625.4
FD311219,2.6,11/21/2019,12.2,3.4,176,TX253124,Region #1,5.9,2654.1,2633.7,2637
GD341420,2.8,06/05/2019,27.8,2.8,111,TX253124,Region #1,10.3,1673.9,1645,1644.1
GD341420,2.8,07/20/2019,21.3,3,128,TX253124,Region #1,8.6,1930.2,1904.6,1905.5
GJ331220,3.1,09/21/2019,26.3,3.9,90,TX253124,Region #1,10.2,1357.2,1317.9,1327.8
GJ331220,3.1,09/19/2019,36.5,2.3,174,TX253124,Region #1,12.9,2623.9,2593.6,2586.6
KQ264020,2.9,03/15/2019,46.8,2.8,156,TX253124,Region #1,15.5,2352.5,2308.7,2307.6
NC103116,2.3,02/18/2019,50.7,3.1,97,TX253124,Region #1,16,1462.8,1412.5,1416.6
QH401919,2.4,02/14/2019,20.3,2.6,100,TX253124,Region #1,7.9,1508,1487.7,1485.3
BQ261014,2.6,05/18/2019,33.5,2.6,112,TX253125,Region #1,11.7,1689,1658.5,1655.2
DA251912,2.4,10/25/2019,37.9,3.5,163,TX253125,Region #1,12.6,2458,2414.6,2421.7
DA251912,2.4,10/14/2019,21.1,3.2,118,TX253125,Region #1,8.1,1779.4,1753.9,1756.2
GD341420,2.8,08/23/2019,8.2,2.6,142,TX253125,Region #1,5,2141.4,2128.5,2126.8
GJ331220,3.1,12/06/2019,31.3,3,116,TX253125,Region #1,11.5,1749.3,1714.4,1716
KH102813,1.2,03/12/2019,36,3.4,128,TX253125,Region #1,10.9,1930.2,1892.6,1898.7
KH102813,1.2,07/23/2019,45.4,3.5,136,TX253125,Region #1,13.5,2050.9,2003.5,2012
MA101120,2.1,03/11/2019,41.2,2.8,115,TX253125,Region #1,13.3,1734.2,1697.5,1695.9
DA251912,2.4,05/25/2019,29.5,2.8,105,TX253128,Region #1,10.3,1583.4,1554.9,1553.6
DA251912,2.4,12/23/2019,38.9,3.7,161,TX253128,Region #1,12.9,2427.9,2380.8,2390.8
DG282516,2.8,10/20/2019,32.7,3.2,151,TX253128,Region #1,11.6,2277.1,2240,2243.6
DM481414,2.6,03/18/2019,11.4,2.3,114,TX253128,Region #1,5.6,1719.1,1705.9,1702.8
GJ331220,3.1,02/11/2019,47.5,2.8,144,TX253128,Region #1,15.9,2171.5,2127.6,2125.6
KH102813,1.2,08/22/2019,11.2,3.3,114,TX253128,Region #1,4.2,1719.1,1705,1706.9
KQ264020,2.9,12/02/2019,49.3,2.7,134,TX253128,Region #1,16.2,2020.7,1977.6,1973.9
DA251912,2.4,02/08/2019,10.3,2.5,171,TX253129,Region #1,5.1,2578.7,2566,2563.8
DG282516,2.8,10/23/2019,22.6,2.6,102,TX253129,Region #1,8.9,1538.2,1515.4,1512.5
DG282516,2.8,12/05/2019,19.7,3.8,119,TX253129,Region #1,8.1,1794.5,1764,1771.1
GD341420,2.8,11/02/2019,18.2,2.1,165,TX253129,Region #1,7.7,2488.2,2471.9,2465.9
KQ264020,2.9,08/09/2019,23,2.8,194,TX253129,Region #1,9.1,2925.5,2899.8,2899.1
MA101120,2.1,04/09/2019,9.6,2.8,110,TX253129,Region #1,4.7,1658.8,1645.5,1645.1
NC103116,2.3,02/08/2019,15.2,3.1,100,TX253129,Region #1,6.4,1508,1488.1,1489.5
NC103116,2.3,05/13/2019,29.6,3.2,178,TX253129,Region #1,10.3,2684.2,2651.3,2654.5
QH401919,2.4,05/14/2019,20.6,2.6,101,TX253129,Region #1,8,1523.1,1502.7,1500.1
QH401919,2.4,08/05/2019,46.9,3,173,TX253129,Region #1,15.1,2608.8,2563.2,2565.4
DM481414,2.6,08/23/2019,30.1,2.7,187,TX253132,Region #1,10.7,2820,2791.6,2789.1
DM481414,2.6,07/02/2019,6.6,2.6,155,TX253132,Region #1,4.3,2337.4,2326.3,2324.9
EC423810,3.7,07/06/2019,6.1,3.3,140,TX253132,Region #1,5.3,2111.2,2093.4,2095.8
FD311219,2.6,08/21/2019,31.8,2.7,138,TX253132,Region #1,11.2,2081,2050.2,2048.7
GJ331220,3.1,09/06/2019,6.2,3.6,169,TX253132,Region #1,4.8,2548.5,2531.5,2534.7
GJ331220,3.1,12/24/2019,16.4,3.5,163,TX253132,Region #1,7.5,2458,2431.7,2436.4
NC103116,2.3,08/05/2019,39.6,3.2,189,TX253132,Region #1,13,2850.1,2808.3,2812.6
NC103116,2.3,04/24/2019,38.1,3.1,90,TX253132,Region #1,12.6,1357.2,1318.1,1320.9
QH401919,2.4,06/12/2019,8.2,3.1,134,TX253132,Region #1,4.6,2020.7,2006.3,2007.5
QH401919,2.4,09/05/2019,18.4,2.9,169,TX253132,Region #1,7.4,2548.5,2527.4,2527.3
BQ261014,2.6,04/18/2019,13.8,2.4,175,TX253133,Region #1,6.4,2639,2623.9,2620.7
BQ261014,2.6,09/03/2019,23.8,3.6,170,TX253133,Region #1,9.1,2563.6,2531.2,2537.4
DG282516,2.8,07/14/2019,13.4,3.2,120,TX253133,Region #1,6.4,1809.6,1789,1791.1
DG282516,2.8,04/04/2019,33.5,3.2,102,TX253133,Region #1,11.8,1538.2,1500.6,1504
DM481414,2.6,10/20/2019,49.5,3.5,159,TX253133,Region #1,15.9,2397.7,2341.5,2351.7
DM481414,2.6,11/03/2019,31.7,3.1,158,TX253133,Region #1,11.1,2382.6,2348.3,2350.5
DM481414,2.6,01/02/2019,49.7,3.4,95,TX253133,Region #1,16,1432.6,1377.6,1386.5
GD341420,2.8,05/02/2019,17.1,2.9,114,TX253133,Region #1,7.4,1719.1,1697.3,1697.6
GJ331220,3.1,07/20/2019,38.9,3,156,TX253133,Region #1,13.6,2352.5,2312.3,2313.2
QH401919,2.4,07/19/2019,13.5,3.1,106,TX253133,Region #1,6,1598.5,1579.6,1581.1
DM481414,2.6,11/20/2019,14.7,3.4,135,TX253135,Region #1,6.5,2035.8,2013.8,2017
DM481414,2.6,03/25/2019,43.7,3.5,126,TX253135,Region #1,14.3,1900.1,1849.7,1858.7
EC423810,3.7,01/08/2019,5.4,3.8,141,TX253135,Region #1,5.1,2126.3,2107,2111.5
FD311219,2.6,08/09/2019,13.5,3.7,120,TX253135,Region #1,6.3,1809.6,1786.7,1791.5
KH102813,1.2,06/06/2019,46.5,2.5,192,TX253135,Region #1,13.8,2895.4,2860.6,2855.6
KQ264020,2.9,05/07/2019,27.5,3,102,TX253135,Region #1,10.3,1538.2,1507.6,1508.3
MA101120,2.1,09/07/2019,31.9,3.4,93,TX253135,Region #1,10.8,1402.4,1366.2,1371.4
NC103116,2.3,02/07/2019,37.6,3.7,173,TX253135,Region #1,12.5,2608.8,2563.4,2572.9
NC103116,2.3,07/01/2019,22.2,3.5,111,TX253135,Region #1,8.3,1673.9,1645.2,1649.9
NC103116,2.3,08/11/2019,8.2,3.8,159,TX253135,Region #1,4.5,2397.7,2380.7,2384.6
NC103116,2.3,12/11/2019,50.1,3,185,TX253135,Region #1,15.8,2789.8,2743,2744.1
BQ261014,2.6,08/11/2019,11.8,2.1,120,TX253138,Region #1,5.8,1809.6,1797.3,1792.7
BQ261014,2.6,10/04/2019,44.5,3.8,130,TX253138,Region #1,14.7,1960.4,1905.2,1918.1
DA251912,2.4,07/04/2019,25.2,3.2,173,TX253138,Region #1,9.2,2608.8,2579.2,2582.4
DM481414,2.6,06/10/2019,28.6,3.1,93,TX253138,Region #1,10.3,1402.4,1370.3,1372.7
DM481414,2.6,07/07/2019,20.8,2.8,90,TX253138,Region #1,8.2,1357.2,1334.3,1333.6
DM481414,2.6,03/25/2019,41.3,3.7,163,TX253138,Region #1,13.7,2458,2407.1,2418.4
DX301310,3.9,04/09/2019,46.8,2.8,152,TX253138,Region #1,16.6,2292.2,2245.7,2244.4
FD311219,2.6,06/13/2019,14.5,3,100,TX253138,Region #1,6.6,1508,1488.1,1489.1
GD341420,2.8,06/22/2019,8.5,2.6,131,TX253138,Region #1,5.1,1975.5,1962,1960.7
GD341420,2.8,08/09/2019,29.4,2.9,132,TX253138,Region #1,10.8,1990.6,1959.2,1959.5
GJ331220,3.1,08/02/2019,7,2.5,158,TX253138,Region #1,5,2382.6,2370.1,2368.2
NC103116,2.3,08/15/2019,19.9,2.4,193,TX253138,Region #1,7.7,2910.4,2892,2888.2
BQ261014,2.6,07/18/2019,41.4,3,93,TX253139,Region #1,13.8,1402.4,1361.5,1362.6
DA251912,2.4,01/05/2019,17.5,3.8,128,TX253139,Region #1,7.1,1930.2,1903.2,1909.8
DG282516,2.8,06/14/2019,34,3.2,94,TX253139,Region #1,12,1417.5,1379,1382.9
DX301310,3.9,05/18/2019,37.5,3.1,161,TX253139,Region #1,14,2427.9,2384.4,2387.4
FD311219,2.6,11/12/2019,37.9,2.8,183,TX253139,Region #1,12.9,2759.6,2723.5,2722.5
MA101120,2.1,04/04/2019,13.7,3,148,TX253139,Region #1,5.8,2231.8,2214.1,2215
MA101120,2.1,10/05/2019,5.7,2.9,123,TX253139,Region #1,3.7,1854.8,1844.2,1844.2
NC103116,2.3,09/01/2019,35.3,3.5,119,TX253139,Region #1,11.8,1794.5,1752.9,1760.3
QH401919,2.4,05/14/2019,42.6,2.8,128,TX253139,Region #1,13.9,1930.2,1891.5,1890.1
DX301310,3.9,08/16/2019,49.4,2.3,128,TX253141,Region #1,17.2,1930.2,1889.8,1880.5
DX301310,3.9,09/17/2019,40.7,3,127,TX253141,Region #1,14.9,1915.2,1869.8,1872.2
EC423810,3.7,10/01/2019,25.9,3,109,TX253141,Region #1,10.7,1643.7,1611.9,1612.9
EC423810,3.7,08/17/2019,6.3,2.6,125,TX253141,Region #1,5.4,1885,1870.8,1869.4
FD311219,2.6,02/18/2019,32.4,3.1,176,TX253141,Region #1,11.4,2654.1,2619.1,2621.2
FD311219,2.6,07/05/2019,15.6,3.2,143,TX253141,Region #1,6.9,2156.4,2134.4,2136.6
FD311219,2.6,01/23/2019,49.7,3.7,116,TX253141,Region #1,16.1,1749.3,1689.7,1702.9
GJ331220,3.1,12/08/2019,7.8,3.1,163,TX253141,Region #1,5.2,2458,2441.7,2443
NC103116,2.3,10/07/2019,11.3,3.5,166,TX253141,Region #1,5.4,2503.3,2484.6,2487.8
BQ261014,2.6,07/09/2019,49.9,2.8,170,TX253143,Region #1,16.1,2563.6,2518.2,2517.1
BQ261014,2.6,06/21/2019,11.7,2.5,177,TX253143,Region #1,5.8,2669.2,2654.8,2652.4
DG282516,2.8,01/09/2019,33.3,3.2,116,TX253143,Region #1,11.8,1749.3,1711.1,1715.3
DM481414,2.6,09/10/2019,30.7,3,133,TX253143,Region #1,10.8,2005.6,1972.8,1974.4
DM481414,2.6,06/24/2019,24.3,3.8,106,TX253143,Region #1,9.1,1598.5,1564.1,1572.1
DM481414,2.6,02/15/2019,43.2,2.9,125,TX253143,Region #1,14.2,1885,1843.2,1843.9
DM481414,2.6,06/08/2019,19.6,2.8,192,TX253143,Region #1,7.8,2895.4,2873.3,2872.7
DM481414,2.6,05/16/2019,37.1,3.8,193,TX253143,Region #1,12.6,2910.4,2862.4,2874.1
DX301310,3.9,05/08/2019,8.7,2.9,158,TX253143,Region #1,6.3,2382.6,2364.2,2364.6
KQ264020,2.9,02/08/2019,26.1,2.6,124,TX253143,Region #1,10,1869.9,1843.7,1841.1
KQ264020,2.9,08/18/2019,15.8,3.3,159,TX253143,Region #1,7.2,2397.7,2373.7,2376.9
BQ261014,2.6,12/23/2019,8.9,3.8,102,TX253144,Region #1,5.1,1538.2,1518.8,1523.6
DA251912,2.4,09/18/2019,6.3,2.6,157,TX253144,Region #1,4.1,2367.6,2357.1,2355.8
DA251912,2.4,05/09/2019,5.9,2.5,134,TX253144,Region #1,4,2020.7,2010.7,2009.3
DM481414,2.6,10/16/2019,26.2,3.7,155,TX253144,Region #1,9.6,2337.4,2301.8,2309.6
EC423810,3.7,01/03/2019,34.7,3.1,104,TX253144,Region #1,13.1,1568.3,1528.2,1530.6
EC423810,3.7,06/25/2019,35.1,2.6,123,TX253144,Region #1,13.2,1854.8,1820.2,1816.8
GD341420,2.8,11/11/2019,32.4,2.4,143,TX253144,Region #1,11.6,2156.4,2128.5,2123.1
GJ331220,3.1,07/10/2019,45.1,3.8,161,TX253144,Region #1,15.3,2427.9,2369.6,2383.8
KH102813,1.2,12/22/2019,10.2,3.5,141,TX253144,Region #1,4,2126.3,2112.4,2114.9
KH102813,1.2,06/19/2019,6.6,2.4,129,TX253144,Region #1,3,1945.3,1938.1,1936.7
KQ264020,2.9,07/15/2019,29.3,3.5,140,TX253144,Region #1,10.8,2111.2,2073,2080
KQ264020,2.9,12/17/2019,34,3.5,175,TX253144,Region #1,12.1,2639,2596.1,2604
MA101120,2.1,07/20/2019,49.8,3,180,TX253144,Region #1,15.6,2714.4,2668.1,2669.4
QH401919,2.4,08/07/2019,50.3,3,106,TX253144,Region #1,16,1598.5,1551.1,1552.4
DA251912,2.4,02/16/2019,6.1,2.5,117,TX253151,Region #1,4,1764.4,1754.6,1752.8
DA251912,2.4,04/22/2019,44.6,3.2,123,TX253151,Region #1,14.4,1854.8,1809.3,1813.2
DA251912,2.4,07/04/2019,35.9,2.1,105,TX253151,Region #1,12,1583.4,1557.9,1548.6
DA251912,2.4,12/25/2019,11.2,3.5,184,TX253151,Region #1,5.4,2774.7,2755.8,2759.1
DG282516,2.8,03/03/2019,7.9,3.3,157,TX253151,Region #1,4.9,2367.6,2351.2,2353.4
DG282516,2.8,01/22/2019,7.3,3.5,145,TX253151,Region #1,4.7,2186.6,2169.8,2172.9
DM481414,2.6,06/18/2019,8.8,2.6,149,TX253151,Region #1,4.9,2246.9,2234.3,2232.7
EC423810,3.7,12/05/2019,23,3.1,154,TX253151,Region #1,9.9,2322.3,2291.8,2293.7
GD341420,2.8,03/20/2019,16.3,2.7,109,TX253151,Region #1,7.2,1643.7,1624.2,1622.9
GJ331220,3.1,04/11/2019,47.1,2.6,130,TX253151,Region #1,15.8,1960.4,1919.9,1914.7
KH102813,1.2,02/05/2019,40.5,3.2,158,TX253151,Region #1,12.1,2382.6,2343.9,2347.6
KH102813,1.2,08/20/2019,27.3,2.9,184,TX253151,Region #1,8.6,2774.7,2749.4,2750
KQ264020,2.9,12/11/2019,49,3.9,115,TX253151,Region #1,16.1,1734.2,1671.9,1687.6
KQ264020,2.9,04/11/2019,25.1,2.9,169,TX253151,Region #1,9.7,2548.5,2520.8,2520.6
KQ264020,2.9,04/14/2019,46.5,3,114,TX253151,Region #1,15.5,1719.1,1673.3,1674.5
DA251912,2.4,08/22/2019,22.4,2.9,120,TX253152,Region #1,8.4,1809.6,1785.4,1785.3
DM481414,2.6,02/18/2019,5.3,3.7,165,TX253152,Region #1,4,2488.2,2473.4,2476.7
DX301310,3.9,06/05/2019,20.4,2.5,99,TX253152,Region #1,9.4,1492.9,1468.9,1465.7
EC423810,3.7,05/17/2019,40.3,3.1,172,TX253152,Region #1,14.6,2593.8,2548.9,2551.7
KH102813,1.2,08/02/2019,48.6,3.1,97,TX253152,Region #1,14.3,1462.8,1417.9,1421.4
QH401919,2.4,04/05/2019,37.7,3.1,187,TX253152,Region #1,12.6,2820,2780.9,2783.6
DG282516,2.8,06/04/2019,12.6,2.3,132,TX253154,Region #1,6.2,1990.6,1976.1,1972.7
DX301310,3.9,07/19/2019,16.2,2.8,161,TX253154,Region #1,8.3,2427.9,2405,2404
DX301310,3.9,12/15/2019,40.7,2.5,182,TX253154,Region #1,14.9,2744.6,2706.6,2701.6
FD311219,2.6,08/18/2019,38.8,3,193,TX253154,Region #1,13.1,2910.4,2871.6,2872.6
GD341420,2.8,12/08/2019,28.2,3.1,154,TX253154,Region #1,10.4,2322.3,2290.2,2292.2
GJ331220,3.1,09/20/2019,6.4,3.2,95,TX253154,Region #1,4.8,1432.6,1417.3,1418.7
MA101120,2.1,01/19/2019,49.2,3.2,97,TX253154,Region #1,15.4,1462.8,1413.7,1418.2
MA101120,2.1,02/25/2019,45.7,3.3,187,TX253154,Region #1,14.5,2820,2771.6,2778.1
NC103116,2.3,11/17/2019,18.9,3.8,121,TX253154,Region #1,7.4,1824.7,1796.4,1803.3
NC103116,2.3,02/13/2019,20.2,3.2,98,TX253154,Region #1,7.8,1477.8,1453.3,1455.4
QH401919,2.4,01/09/2019,46.5,2.8,94,TX253154,Region #1,15,1417.5,1376.3,1374.4
BQ261014,2.6,11/04/2019,24.6,3.7,91,TX253160,Region #1,9.3,1372.3,1338,1345.5
DX301310,3.9,06/13/2019,8.7,3.9,103,TX253160,Region #1,6.3,1553.2,1529.1,1535.1
EC423810,3.7,11/11/2019,18.3,3,175,TX253160,Region #1,8.6,2639,2612.9,2614.1
EC423810,3.7,11/25/2019,47.5,2.8,173,TX253160,Region #1,16.5,2608.8,2563.3,2561.2
GD341420,2.8,10/19/2019,11.5,2.5,105,TX253160,Region #1,5.9,1583.4,1568.7,1566.3
GJ331220,3.1,01/15/2019,27.3,3.4,103,TX253160,Region #1,10.4,1553.2,1518,1523.1
MA101120,2.1,05/02/2019,44.3,3.1,155,TX253160,Region #1,14.1,2337.4,2293.3,2296.7
BQ261014,2.6,08/05/2019,9.3,3.3,95,TX253164,Region #1,5.1,1432.6,1415.8,1417.7
BQ261014,2.6,04/19/2019,13.8,2.5,108,TX253164,Region #1,6.4,1628.6,1612.8,1610.3
DG282516,2.8,03/20/2019,30.7,2.7,126,TX253164,Region #1,11.1,1900.1,1870.2,1868.1
DM481414,2.6,08/14/2019,50,2.8,97,TX253164,Region #1,16.1,1462.8,1417.4,1416.4
DX301310,3.9,09/18/2019,17.4,2.9,167,TX253164,Region #1,8.6,2518.4,2493.3,2493.5
DX301310,3.9,05/02/2019,31.8,3.7,123,TX253164,Region #1,12.5,1854.8,1809.1,1818.8
GD341420,2.8,11/09/2019,14.6,2.6,195,TX253164,Region #1,6.8,2940.6,2922.8,2921.1
DA251912,2.4,03/09/2019,44.9,2.9,154,TX253172,Region #1,14.5,2322.3,2281,2280.5
DA251912,2.4,09/15/2019,39.1,2.6,163,TX253172,Region #1,12.9,2458,2425,2420.7
DX301310,3.9,09/20/2019,48.4,3.1,140,TX253172,Region #1,17,2111.2,2059,2062.2
