DateOfSale,EmployeeCode,ComboCode,markup_amount,total_trans_profit
04/12/2017,875,7,3.4950,3.4950
04/13/2017,875,5,2.9160,8.7480
04/20/2017,875,6,3.7160,3.7160
04/23/2017,154,6,3.7160,11.1480
04/23/2017,324,4,2.3970,2.3970
04/27/2017,875,7,3.4950,6.9900
04/30/2017,234,2,1.9975,1.9975
05/01/2017,875,6,3.7160,7.4320
05/03/2017,234,1,1.6975,6.7900
05/06/2017,875,5,2.9160,5.8320
05/08/2017,324,4,2.3970,4.7940
05/10/2017,234,7,3.4950,6.9900
05/12/2017,234,7,3.4950,6.9900
05/12/2017,875,5,2.9160,8.7480
05/14/2017,324,1,1.6975,6.7900
05/17/2017,154,6,3.7160,11.1480
05/19/2017,875,7,3.4950,6.9900
05/22/2017,234,7,3.4950,3.4950
05/26/2017,354,1,1.6975,5.0925
05/28/2017,154,7,3.4950,10.4850
05/30/2017,234,7,3.4950,6.9900
05/31/2017,875,7,3.4950,3.4950
06/02/2017,154,5,2.9160,8.7480
06/08/2017,875,7,3.4950,10.4850
06/12/2017,234,7,3.4950,10.4850
06/12/2017,324,1,1.6975,1.6975
06/12/2017,875,5,2.9160,11.6640
06/13/2017,154,7,3.4950,10.4850
06/18/2017,234,8,3.4950,13.9800
06/19/2017,234,7,3.4950,10.4850
06/19/2017,234,7,3.4950,3.4950
06/27/2017,154,7,3.4950,3.4950
06/27/2017,875,5,2.9160,2.9160
06/28/2017,875,7,3.4950,10.4850
07/01/2017,154,5,2.9160,5.8320
07/06/2017,875,5,2.9160,11.6640
07/07/2017,234,8,3.4950,6.9900
07/10/2017,234,2,1.9975,7.9900
07/10/2017,324,6,3.7160,7.4320
07/10/2017,875,5,2.9160,5.8320
07/11/2017,154,7,3.4950,13.9800
07/11/2017,154,8,3.4950,10.4850
07/11/2017,234,8,3.4950,13.9800
07/13/2017,234,8,3.4950,10.4850
07/16/2017,234,8,3.4950,3.4950
07/18/2017,234,1,1.6975,6.7900
07/19/2017,324,2,1.9975,1.9975
07/20/2017,234,8,3.4950,6.9900
07/29/2017,875,7,3.4950,13.9800
08/03/2017,324,2,1.9975,3.9950
08/06/2017,234,8,3.4950,6.9900
08/06/2017,324,1,1.6975,6.7900
08/06/2017,324,7,3.4950,6.9900
08/09/2017,234,7,3.4950,10.4850
08/10/2017,234,7,3.4950,10.4850
08/12/2017,154,7,3.4950,3.4950
08/12/2017,324,4,2.3970,9.5880
08/16/2017,354,5,2.9160,5.8320
08/18/2017,154,5,2.9160,2.9160
08/18/2017,875,6,3.7160,7.4320
08/20/2017,875,6,3.7160,3.7160
08/21/2017,875,5,2.9160,8.7480
08/24/2017,154,8,3.4950,3.4950
08/25/2017,875,5,2.9160,8.7480
08/27/2017,324,8,3.4950,3.4950
08/27/2017,875,6,3.7160,11.1480
08/28/2017,234,7,3.4950,10.4850
08/31/2017,234,2,1.9975,5.9925
09/01/2017,154,7,3.4950,3.4950
09/02/2017,154,7,3.4950,6.9900
09/03/2017,154,5,2.9160,2.9160
09/04/2017,234,8,3.4950,3.4950
09/04/2017,324,4,2.3970,9.5880
09/05/2017,234,8,3.4950,6.9900
09/14/2017,234,7,3.4950,10.4850
09/14/2017,234,8,3.4950,3.4950
09/15/2017,324,2,1.9975,1.9975
09/16/2017,154,3,2.2975,6.8925
09/17/2017,234,7,3.4950,3.4950
09/20/2017,234,7,3.4950,3.4950
09/20/2017,354,8,3.4950,6.9900
09/25/2017,875,6,3.7160,11.1480
09/26/2017,234,7,3.4950,6.9900
09/28/2017,324,2,1.9975,7.9900
09/29/2017,324,4,2.3970,9.5880
10/01/2017,234,7,3.4950,13.9800
10/01/2017,324,2,1.9975,7.9900
10/01/2017,354,7,3.4950,10.4850
10/05/2017,234,7,3.4950,6.9900
10/05/2017,324,7,3.4950,3.4950
10/08/2017,234,7,3.4950,3.4950
10/10/2017,354,7,3.4950,10.4850
10/13/2017,234,7,3.4950,13.9800
10/15/2017,234,7,3.4950,3.4950
10/16/2017,234,7,3.4950,13.9800
10/18/2017,875,7,3.4950,13.9800
10/22/2017,234,1,1.6975,6.7900
10/30/2017,234,2,1.9975,3.9950
11/01/2017,354,7,3.4950,6.9900
11/03/2017,234,8,3.4950,13.9800
11/03/2017,354,5,2.9160,2.9160
11/04/2017,324,2,1.9975,7.9900
11/06/2017,354,5,2.9160,2.9160
11/07/2017,234,2,1.9975,3.9950
11/08/2017,234,7,3.4950,3.4950
11/11/2017,234,8,3.4950,13.9800
11/13/2017,234,7,3.4950,13.9800
11/14/2017,234,7,3.4950,10.4850
11/14/2017,354,7,3.4950,3.4950
11/16/2017,154,4,2.3970,9.5880
11/17/2017,154,7,3.4950,13.9800
11/17/2017,234,7,3.4950,13.9800
11/18/2017,234,7,3.4950,3.4950
11/18/2017,324,7,3.4950,6.9900
11/19/2017,324,7,3.4950,13.9800
11/24/2017,354,7,3.4950,13.9800
11/26/2017,154,7,3.4950,10.4850
11/27/2017,324,7,3.4950,10.4850
11/27/2017,354,1,1.6975,6.7900
11/30/2017,234,7,3.4950,6.9900
12/05/2017,234,8,3.4950,3.4950
